q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41
46923269,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,"Pity feels too high and duplicates are frequent, making pulls feel poor value.",,,,,,,,,,,,,,,Performance is very poor; crashes/force-closes when party grows.
46923015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black screen on entry with audio only.
46922995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46906079,,,,,,,,,,,,,,,,,,,,,,,True,Pity/spark exists for 'divine beasts'—player twice hit pity to exchange.,-2.0,"Paid value feels low (e.g., ~¥6 buys ~108 gems ≈ 1 pull) and no evident monthly card; overall too expensive.",,,,,,,,,,,,,,,Buff/effect descriptions are missing; unclear if there is a monthly card.
46918642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertical-only orientation feels awkward.
46909211,,,,,,,,,,,,,,,,,,,,,-1.0,Obvious event auto-exploration bug remained unfixed across days.,,,,,,,,,,,,,,,,,,,Auto-exploration value stuck overnight; many bugs remain unaddressed.
46916722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertical-only; player requests horizontal mode.
46916559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pixel art appears coarse/low fidelity.
46916127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46915998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weapon drops progress quickly while pet ('war beast') drops lag far behind; suggests raising pet drop rates.
46915562,,,,,,,,,,,,,,,,,,,,,,,True,30-pull pity for an SSR; gold rate feels high overall.,,,,,,,2.0,Over 400 draws from mail plus in-game stones during test.,,,,,,,,,Extremely high off-rate on UP banners; hundreds of pulls without any UP.
46855073,,,Stationary turn-based combat focused on stat checks rather than action.,-1.0,Late-game devolves into pure number colliding; little moment-to-moment interaction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Requests more side quests, home/farming/crafting/trade systems, romance/favorability, and male protagonist option; non-combat BGM feels flat."
46915216,,,,,,,,,-1.0,Daily routine feels tiring and many systems are still incomplete.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Several systems are unfinished in the test build.
45064073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only a female protagonist is available.
46914634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bug count is high in test but overall quality seems good; value depends on launch welfare.
46914441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannot enter the game.
46912967,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,Progress requires heavy spending; few players to help in hard co-op; weapon upgrade has no inheritance or resource refund.,,,,,,,,,,,,,Black-screen login bug; upgrade system deletes invested materials on switch; requested refund due to being unable to play.
46912880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frequent black screens and freezes.
46912638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Mecha 'full-team guard' interaction inconsistent—boss special actions with Wind damage wipe the team even under guard.
46912176,,,,,,,,,-1.0,Low dungeon drop rates make farming dull without auto-hangup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requests horizontal mode; pixel chibi quality; need auto-farm for better late-game experience.
46912163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advertised landscape mode not actually available.
46912141,,,,,,,,,,,,,,,,,,,,,-1.0,Bugfixes keep breaking other systems; daily whack-a-mole issues persist.,,,,,,,,,,,,,,,,,,,Skill axis doesn’t apply; passives and skills fail to trigger; saved teams reset or switch elements unexpectedly.
46911406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progress/wallet will reset at launch despite lucky pulls in test.
46909690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46909260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"Received around 10,000 premium currency in test.",,,,,,,,,
46909139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huge variance in gacha luck between players.
46908645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battle pass/energy ('BP') rewards are too limited; over-restricted grinding.
46906084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer support contact not easily found.
46904513,,,,,,,,,-2.0,Stuck at the 'Campfire talk' story step; dungeons won’t open.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Persistent story soft-lock at 'campfire night chat'.
46830519,,,,,,,,,-2.0,Very low drops and extreme grind across weapon sets and four mandatory elemental teams; no sweep and tight BP gates.,,,,,,,,,,,,,True,Spark system with multiple UPs per banner; described as needing roughly 200 pulls to select one UP.,-2.0,High cost to reach pity and diluted UP targeting make pulls poor value.,,,-2.0,Forces investment into four teams and heavy weapon trees under tight BP limits; gacha design pushes spending.,,,,,,,,,,,No sweep; long fights despite auto; heavy BP gating; weapon set reworks reset progress; unsuitable as a side game.
46904411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game-breaking early-story bug; perception that the team ignores issues and may be cash-grabbing.
46904258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immediate black screen on login even after relaunching.
46904229,,,,,,,,,-2.0,"Repeated crashes/black screens block progression (e.g., 'campfire talk' quest never completes).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frequent crashes and black screens; quest completion not registering.
46904050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,World chat appears filled with bots; main story cannot progress; instance UI empty; gacha rates look high.
46903989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Numerous critical bugs: wrong skill CDs making MC useless; weapon-plate predictor broken; assassin debuff applies to allies instead of enemies.
46903937,,,Turn-based battles with many buffs/debuffs but poor feedback; bosses mostly auto-attack with little telegraphing.,-1.0,Lack of damage feedback and effect descriptions; boss attacks feel bland.,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Many pulls came from test mails; in normal play pull income felt low.,,,,,,,,,Desire for MC wardrobe; sparse map content; missing buff descriptions; frequent MC sprite bugs; low UP rates (400 pulls yielded few UPs).
46903930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stuck on 'Apocalypse Knight—Late arrival' story step; restart doesn’t help.
46903148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertical middle joystick is awkward; dialogue interaction buttons are hard to tap; story tone feels juvenile; prefers horizontal mode.
46902867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soft-locked at the very first stage; relaunching doesn’t resolve.
46819510,,,,,,GBF-like buildcraft around stacking skills and effect combinations.,1.0,"Skill combo and build systems are the main appeal, despite balance/UI issues.",,,,,,,,,,,,,,,,,,,,,-1.0,Monetization feels somewhat heavy; expect to pay later.,,,,,,,,,,,Many bugs; poor job balance for the protagonist; incomplete effect texts; UI stutter.
46900742,,,Card-like turn-based battles; exploration separated from combat.,-1.0,Turn-based format and map running make pacing feel wasted relative to the art and world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46900212,,,,-1.0,Gameplay is soporific and slow-paced.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46898892,,,,,,,,,,,-1.0,Water element suffers multiple damage/crit bugs while Wind feels stronger largely because it has fewer bugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Persistent bugs in skills, skill axis, and dungeon entry; critical issues with water-element mechanics (crit, multihit, freeze stack interactions)."
46898083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praises visuals; requests a landscape (horizontal) mode.
46851775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dislikes story and finds gameplay uninteresting; praises art but requests landscape mode; dislikes female-locked protagonist which hurts immersion.
46896824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poor optimization; multiple bugs and frequent crashes during main story.
46896763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Too many bugs encountered, more than enemies."
46896729,,,,,,,,,-2.0,Progression blocked by gacha luck and need for carries; no satisfying feedback loop.,,,,,,,,,,,,,False,,,,-2.0,Relies on high-spenders to carry co-op; without strong characters/teams progress stalls.,-2.0,Heavy pressure to pull new characters to progress; reviewer burned large amounts with poor returns and says there is no pity.,,,,,,,,,,,Complains about power/leaderboard PUA; requests auto skill-order memory; lacks clear ‘fun moments’.
46831059,,,,,,,,,1.0,Easy to get started and progress due to rewards and support.,,,,,,,,,,,,,,,,,,,1.0,Spending felt optional; with BP support and rewards it was easy to progress.,1.0,Generous testing rewards; spending not required to progress.,,,,,,,,,"Low drop rates and many bugs (class switching resets, fluctuating power, skill casts fail, illegal text blocks recruitment); suspects some AI art and asset reuse."
46896655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visuals are beautiful; nothing else noteworthy.
46839800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Small spender achieved full four-attribute teams; gacha felt not punishing during test.,,,,,,,,,,,Excellent art and a classic yet fresh story; gameplay acceptable; later complains many bugs remain unfixed.
46896501,,,GBF-like party RPG system with heavy grind.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Octopath Traveler-like HD-2D art; concerns about balance/rewards leading to excessive grind/pay.
46896220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banner composition is messy (fire banner drops other elements); pet drop rates too low; a bit grindy but overall positive.
46895981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skill/setting text garbling; frequent crashes and loading errors; severe overheating.
46895932,,,,,,,,,,,,,-2.0,States only one meta team works globally; other teams cannot obtain rewards.,,,,,,,,,,,,,,,,,,,,,,,,,,,Gameplay feels monotonous; visual style matches trailers.
46892874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannot enter the game despite getting a test slot.
46892372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,After an update the game cannot be entered or updated; updating drops network; user uninstalled.,Login/update loop prevents play.
45444345,,,,,,,,,,,,,-1.0,Strict attribute-based team requirements raise the barrier and limit viable builds.,,,,,,,,,,,,,,,,,,,,,,,,,,,Art is strong; vertical orientation disliked; concerns about gacha pools and team attribute requirements.
46891707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,Accuses dev of greed with worsening issues.,,,,,,,,,,,Says the studio lacks technical capability; predicts failure.
46877074,,,,,,Non-advantage elements suffer -50% damage; forced to train four elemental teams; increased AP and BP costs; event requires rare ‘demon hearts’ with limited drops and entries.,-1.0,Element checks and four-team requirement feel punitive rather than offering interesting tactics.,-2.0,Resource costs raised sharply and scarce drops block event progression.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grind increased by several times; co-op rooms hard to enter; event item scarcity.
46890423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Co-op stamina is too restrictive; mechanics feel copied; UI/controls laggy; pixel UI and battle layout look ugly; map design/pixel art criticized.
46890141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fun game; highly grindy/addictive.
46890101,,,,,,,,,,,,,,,"Alchemy crafting (e.g., copper/silver steel), fishing for rewards, and repeated dungeon farming.",True,,,-1.0,"Alchemy cannot produce high-tier mats; fishing baits are scarce and yields low (e.g., only a few pulls).",,,True,Frequent pity hits; 200-pull ‘well’ for selection; reviewer says every pull session hit hard pity.,,,,,,,,,,,,,,,,,Very low material/weapon drop rates; excess ‘magic weapons’ with no sink; gacha feels low-rate; concerned about early power creep.
46889659,,,,1.0,States music and battle mechanics are good.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likes art and scenes; suggests simplifying overall power-up system.
46889328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asks how to enable landscape mode.
46830120,,,,,,,,,-2.0,Crashes/login issues and heavy farming without sweep hinder progress.,,,,,,,,,,,,,True,200-draw hard pity that resets when switching banners; reviewer lost pity progress on banner change.,,,,,-2.0,Very grindy with pity reset and poor drops; feels exploitative.,,,,,,,,,,,Initial login flagged as hacking; repeated crashes; resource farming is time-consuming; no sweep; no compensation seen.
46807831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very positive early impression; asks when the game will launch.
46887887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannot dismantle duplicate weapons; ‘demon heart’ drop rate extremely low; inventory fills with duplicates.
46887204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46886382,,,,,,,,,,,,,-2.0,"Mixed, polluted banners and low rates force teams based on what drops rather than choice.",,,,,,,,,,,,,,,-2.0,Calls it blatant cash grab with polluted pools and micro odds.,,,,,,,,,,,"Too many bugs; unexplained terms (e.g., ‘undying’, ‘phantom’, ‘rousing’, ‘ougi chain’) allegedly copied from GBF."
46828079,,,Turn-based combat with auto-battle and a configurable skill queue/rotation.,0.0,Likes turn-based but auto-battle reduces engagement; skill queue sometimes fails to trigger.,Attribute-focused team building; skill queue system; many buffs lacking clear descriptions.,0.0,Systems exist but unclear BD and buff details limit meaningful planning.,-1.0,Becomes boring and lacks long-term goals; feels like either pay or grind.,,,,,,,,,,,,,,,,,,,-1.0,Feels pay-or-grind; suggests monthly pass and better SR viability.,,,,,,,,,,,Auto-path/teleport kills exploration; story average with odd memes; art/music praised.
46885417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feels like a mishmash of design elements (miHoYo/MMO) with too many features.
46884830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,Hard to pull desired items which reduces motivation to continue.,,,,,,,,,,,Retro visuals but low playability; UI layout poor; no full-screen art view; team building UI is awkward.
46876326,,,,,,,,,-2.0,Stamina/AP costs massively increased and frequent disconnects waste stamina; stats dropped after maintenance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Severe lag/disconnects despite strong signal; co-op/join costs raised; experience dungeon cost set to 100 AP.
46883821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overall poor experience; pixel models look bad.
46883248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finds it good; notes comedic opening where protagonist is hit by a meteor.
46883209,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Feels not very grindy and enjoyable in vertical mode as F2P.,,,1.0,Says welfare is plentiful.,,,,,,,,,Unique mix of dungeon grinding and anime style; likes vertical orientation.
46805839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0 weapon drop rates are too low.
46882284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phone heats up quickly (5–10 minutes of play).
46880802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great art; character relationships feel forced; unclear boss unlock indicators.
46880530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suggests it is a rebranded revival.
46829636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frame rate feels low/uneven; joystick positioned too high; suggests moving joystick and collapsing chat; update did not address it.
46860366,,,"GBF-style co-op, turn-based combat with Ougi/ultimate chains, same-element bonuses, and buffs.",,,"Element synergy, Ougi coordination, co-op roles with MVP competition.",1.0,"Multiple interacting systems (elements, buffs, chaining) provide tactical options despite co-op MVP imbalance.",,,,,,,,,,,,,,,True,30-pull SSR pity and 200-pull UP selection; drawing characters also grants weapons.,,,1.0,Most resources can be farmed with time; not overtly pay-forcing.,1.0,Spending mainly accelerates progress; not pay-to-win focused.,2.0,Hundreds of test pulls; enough to form four elemental teams.,,,,,,,,,Poor optimization; main quest is long with lots of auto-run; story writing criticized; no auto/sweep; co-op MVP hogging; UI issues.
46834492,,,,,,Non-advantage damage -50%; forced to build four elemental teams; daily farm structure; joystick ergonomics; protagonist gender locked.,-1.0,Forced multi-element progression and some AI behavior reduce meaningful tactics.,,,,,,,,,,,,,,,True,30-pull guaranteed gold and 200-pull pity; varying UP rates by banner; test distributed daily pulls.,,,,,,,1.0,Estimates ~80+ free pulls/month via activity and AFK tower farming.,,,,,,,,,"Mid-test changes (e.g., Baha weapon drop model); perceived cash-grab banners; lacks full-body art/gallery; AI art concerns; joystick too high; no sex selection."
46879530,,,,1.0,Says gameplay is good and recommends to pixel-art fans.,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Claims 200 free pulls at entry.,,,,,,,,,Praises high banner rates and generous rewards.
46878842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Material farming is boring auto-grind with no skip; lost motivation after a few days.
46878782,,,,,,,,,,,-2.0,New character heavily power-creeps older ones via raw stat scaling.,,,,,,,,,,,True,"Reports always hitting pity after update; failed to obtain target (e.g., Diabolo) within 120 pulls; implies 200-draw pity/well.",,,,,,,,,,,,,,,,,Feels rates were nerfed; straightforward stat inflation.
