question_code,question_content,synthesis_answer
q11,Rate hero balance: -2 to 2 or “N/A”,"{'overall_score': -1.6101694915254237, 'detailed_scoring': {None: 1770, -2.0: 38, -1.0: 19, 0.0: 2}}"
q12,Reason for previous question’s rating,"• UR introduction caused severe power creep; SSR become obsolete quickly. [45970996, 45459238, 44061031, 43702728, 42991193, 42924570]
• New units consistently outclass previous ones; frequent releases force meta chasing. [46466077, 42665858, 38697827, 38334865, 37950513]
• SR/R units largely unusable; huge stat gap versus SSR/UR. [43712748, 38052738, 38052039, 44189159, 38039675, 37619792]
• Star levels gate viability; 0-star weak, 3–5 star required. [37941460, 38052039, 38034686, 38502201]
• Star upgrades give massive stat jumps (e.g., +50% per star). [38004166, 37636135]
• Skins provide stats; lower power with skins can beat higher power. [39528053, 46135207, 38004166, 37636135]
• Combat power poorly reflects strength; UR setups beat higher CP. [46186543, 46135207, 41958383, 41787929, 39528053]
• Weapons, artifacts, pets heavily skew balance; gacha access determines power. [46466077, 42998424, 41958383, 37950513, 37606802]
• PvP dominated by whales with latest UR; free players outmatched. [44426438, 40927379, 40314676, 38334865, 39979927]
• Single overpowered heroes frequently decide matches. [41958383, 41787929]
• Players request buffs for old or specific characters (e.g., Winter/Kraken). [44336093, 37416104, 38161877]
• Minority opinion: balance acceptable; SRs can work with investment. [38135750, 38344655]
• Viable rosters are narrow; the same few characters dominate. [43702728, 38052738, 38039675]"
q13,Rate hero/team build diversity: -2 to 2 or “N/A”,"{'overall_score': -0.9090909090909091, 'detailed_scoring': {None: 1818, -1.0: 6, -2.0: 3, 1.0: 2}}"
q14,Reason for previous question’s rating,"• Team building feels shallow; lineups rarely require careful planning. [43702728]
• Little inter-character synergy reduces composition creativity. [43702728]
• Power creep: newer cards, especially UR, overshadow older/SSR units. [43702728]
• Common approach: stack newest URs and paid upgrades rather than strategy. [43702728, 37636135, 37861904, 38034686]
• Same-faction buffs only for SSR limit mixed-rarity team options. [42109317]
• SR/R viability disputed: one says workable; others say unusable or filler. [38135750, 38150380, 37861904, 37636135, 37619792]
• Strength tied to star/duplicate levels, narrowing viable builds. [38034686, 37636135]
• Strong compositions narrow (e.g., Winter set + Kraken); alternatives require heavy grind. [39079735]
• Six-character core suffices; inheritance eases swaps, reducing team-building depth. [39820952]
• Combat dominated by raw stats; rarity, skins, furniture overshadow composition. [38135750, 37636135, 37861904]"
q15,Describe the secondary core loop (or “N/A”),"- Acquire characters, assign them to dorm; upgrade dorm to house more residents. [43672049, 39541351]
- Send characters to Life Platform jobs; they work for hours and become fatigued. [39541351]
- Move fatigued characters into dorm; bathtubs accelerate recovery on a long cooldown. [39541351]
- Decorate dorm/home; players enjoy ""decorate the home"" for a cozy life. [37840502, 37841548]
- Customize main screen backgrounds to showcase waifus; request more bright backgrounds. [37614768, 37638815]
- Furniture placement increases team power; dorm sets confer attributes and comfort. [38033276, 38004166]
- Skins add attributes to characters and the whole team. [38004166, 38092964]
- Affection, gallery, furniture, skins collectively boost stats; loop encourages collection. [38053898, 38092964]
- Interact with waifus through clicks and special touches; bathing scenes included. [37661104, 37652166, 37634440]
- Players login to idle, collect rewards, and manage dorm tasks daily. [38061013, 38034501]
- Some praise relaxed play; others note grindy upgrades and fatigue management. [38062342, 43672049]
- Dorm/homeplay considered shallow; players want deeper interactions. [42109317]
- Events and shops provide discounted skins/furniture; decorate to gain power. [37950513, 38092964]"
q16,"Does the secondary loop match tycoon/crafting (e.g. Township, Hay Day)? (True/False/“N/A”)","{None: 1804, False: 25}"
q17,Rate simplicity of the secondary loop: -2 to 2 or “N/A”,"{'overall_score': 0.625, 'detailed_scoring': {None: 1805, 1.0: 15, -2.0: 4, 2.0: 4, 0.0: 1}}"
q18,Reason for previous question’s rating,"- Daily routine can be light: auto battles, sweep dailies, suitable as side game. [38034501,38061013,38062342,37089463,38102363,37284591]
- Others report extreme grind; time-consuming progression feels like a job. [38648238,38611711,43672049,38041804,37861904]
- Meta progression uses many layers: codex, furniture, skins, affection boosting stats. [38092964,38004166,37861904]
- Partial or missing sweep causes repetitive chores after daily resets. [38043261,37861904,38034686]
- Rewards and key features are chapter/level-gated, prolonging the loop. [42109317,38061013,38034927]
- Multiple gacha currencies and scarce resources complicate progression choices. [38043261,38102363]
- Level and gear inheritance simplifies switching characters and team building. [37089463,38034404]
- Dorm and life systems introduce fatigue management, described as cumbersome. [39541351]
- Modes are standard card-game loops; familiar but unremarkable. [38102363,37089463]
- Opinions split between casual idle play and chore-heavy grind. [38062342,38061013,37861904,38648238]"
q19,Rate resources earned from the secondary loop: -2 to 2 or “N/A”,"{'overall_score': 0.16666666666666666, 'detailed_scoring': {None: 1817, -1.0: 5, 1.0: 3, 2.0: 3, -2.0: 1}}"
q20,Reason for previous question’s rating,"- Diamonds are hard to obtain; four gacha currencies mostly come from events or purchase. [38043261]
- Early welfare looks fine; later rewards become stingy and scarce. [38043261]
- Without paid packs, daily activities yield minimal resources; dungeons reward very little. [38102363]
- Clearing five stages barely funds one ten-pull; story gives no tickets. [38102363]
- Routine content mostly doesn't grant diamonds or summon tickets. [38102363]
- Event coins are miserly; some must be bought to exchange meaningful rewards. [38092964]
- Event exchange costs are extreme; one equipment needs 6,000 coins. [38092964]
- Many modes sell extra attempts, but rewards feel too low. [38092964]
- Free daily ten-pull exists, but feels insignificant versus progression needs. [38033276]
- Later updates added daily ten-pulls, earlier select banner, and 20-pull compensation. [38061013]
- One player finds diamonds easy to get but stamina scarce. [38036669]
- Welfare reportedly decreased over time; freebies like SSR selects removed. [37950513]
- Resource sources include dailies, weeklies, events, passes, and shop exchanges. [37950513]
- Shops offer good-value exchanges: 500 diamonds for 5 artifact tickets plus stamina. [37950513]
- Scheduled stamina gifts occur twice daily. [37950513]
- Repetitive modes lack early sweep; high time cost for meager rewards. [38043261, 37861904]
- Unlocking the elite-like mode grants only two summon tickets. [38102363]"
q21,Rate frequency of content/meta updates: -2 to 2 or “N/A”,"{'overall_score': 0.1891891891891892, 'detailed_scoring': {None: 1792, -1.0: 14, 1.0: 13, 2.0: 7, -2.0: 3}}"
q22,Reason for previous question’s rating,"- Frequent meta churn weekly/biweekly; power creep obsoletes prior units. [46466077, 46232807, 41068349, 38697827]
- “Seven days one UP.” [38697827, 43911482]
- At least four limited characters per month, by some reports. [38334865]
- Often three characters plus weapons monthly, plus item and pet. [46466077]
- Banner cadence commonly 14 days; about two per month. [37868677, 37950513]
- Some banners last only a few days, feeling rushed. [40425260]
- Character release pace criticized as too fast, sometimes two in a week. [46232807]
- Schedule tight with frequent reruns; currency planning needed. [44690699]
- CN rhythm seen rushed; international server uses longer cycles. [38208127, 38161877]
- Event cadence divides opinion: too many vs. too few or repetitive. [44706278, 44277043, 38070712, 43948051]
- Monthly small events reportedly reduced, lowering diamond income. [37212384]
- Limited events run continuously on a two-week rotation. [37950513, 36817669]
- Updates perceived too frequent, disrupting logins. [38649484]
- Content feels stagnant to some: recycled events, fewer new ideas. [39560357, 43948051]
- Some report stalled version: no banner updates and locked features. [42644911]
- One reviewer praises regular maintenance and new content additions. [38035106]
- Conflicting rerun frequency: some call it frequent, others say rare. [44690699, 46232807]"
q23,Does the game have a gacha guarantee system? (True/False/“N/A”),"{None: 1715, True: 110, False: 4}"
q24,"Briefly describe the gacha guarantee system if answer to previous question is True, else answer “N/A”","• Character small pity 50–60 pulls depending on version. [37950513, 38189193, 43324785, 42987091, 46454873]
• Character big pity variously reported: 120, 200, or 250 pulls. [46454873, 42987091, 42631663, 40364196, 38066485]
• UP chance on character banners typically 40%. [42631663, 42136905, 38210077, 38051802]
• Miss UP up to four times; fifth SSR guarantees UP. [37950513, 38141097, 38189193, 38072851, 41493165]
• “Four off-rate, fifth guaranteed UP.” [38072851]
• Weapon banner: 30-pull pity; 80% UP chance; often no hard pity. [40178113, 37950513, 46122541]
• Players report weapon UP still frequently off-rate despite 80% claim. [41958383, 46122541]
• Source beast banner: 80-pull pity; reports of no big pity. [46122541, 37950513]
• Some report 200+ pulls for a pet. [45806927]
• Ancient relic banner: 0.2% full SSR; no hard pity; shard exchange ~500 pulls. [37950513, 38380703]
• One pull costs 150 diamonds; 120-pity roughly 18,000 diamonds. [43911482, 38189193]
• Many experience frequent big pity or 150–250 pulls for UP. [40364196, 42019948, 42246117, 38033903]
• Updated reports: 60 small pity and 120 big pity. [46454873, 44690699, 44435814, 43787756]
• Some players still mention 200 big pity or 250 big pity. [42631663, 40364196, 38066485]"
q25,Rate reasonableness of gacha pull price: -2 to 2 or “N/A”,"{'overall_score': -1.393939393939394, 'detailed_scoring': {None: 1763, -2.0: 45, -1.0: 11, 1.0: 9, 0.0: 1}}"
q26,Reason for previous question’s rating,"- Pull cost is 150 diamonds per pull; a ten-pull costs 1,500 diamonds. [43911482, 38189193]
- CN pricing seen cheaper than external, roughly 30% less per pull. [37843972, 36760711]
- Some report 120-pull pity banners; one UR costs ~18,000 diamonds. [43911482]
- Soft pity at 50 draws; up to four off-banners before UP guarantee. [38189193, 42136905, 38052142]
- Hard pity at 250 draws widely criticized as too high. [38085360, 38037848, 38033903]
- Weapon banner: 30-draw SSR pity, 80% UP chance, no hard pity. [46122541, 37950513]
- Relic banner ~0.2% rate, no pity; severe diamond sink. [37950513, 38112717]
- Beast banner 80-draw pity without big pity; multiple off-banners occur. [46122541]
- Frequent off-banners make effective UP acquisition costs unreasonable. [41724825, 40107006, 39929718]
- 648 RMB only buys 6,480 diamonds; poor cost-performance sentiment. [46271527]
- Free diamond income is low; about 5,800 per month plus one ten-pull. [38083738]
- Hard to reach 250 pity via gameplay; saving takes long time. [38083738, 43911482]
- Some claim banners lack visible pity, feeling like blind boxes. [46038066, 38111407]
- Early versions had 40–50-draw guarantees; later changes felt worse. [46446360]
- Players advise hoarding 250 pulls before rolling limited banners. [38037848]
- Heavy spenders suspect rates worsen after spending, increasing costs. [37950513, 38380703]
- Early 100-draw select feels generous but heavily gated by chapters. [38083738, 38052142, 41411522, 38101198]"
q27,Rate major feature access for non-paying users: -2 to 2 or “N/A”,"{'overall_score': -1.4933333333333334, 'detailed_scoring': {None: 1679, -2.0: 105, -1.0: 28, 1.0: 12, 0.0: 4, 2.0: 1}}"
q28,Reason for previous question’s rating,"• Core PvP rewards are largely unreachable for free players; whales dominate cross-server events. [44426438, 46122541, 37212384]  
• Many activities require high combat power; low spenders can’t clear even basic event tasks. [46145788, 42082077]  
• Newbie and featured gacha are often locked behind chapter progress; many can’t reach them. [38031936, 38092776, 38159884]  
• Some starter banners require payment to pull at all. [43595776, 44186379]  
• QoL features like 10x speed, skip, and sweep are paywalled. [44234377, 38054691, 42998424]  
• Event reward tracks lock later tiers behind an 18 CNY purchase. [38214372, 38085626]  
• Skins grant permanent stat boosts; many are pay-only. [38102879, 38088313, 45055425]  
• Furniture, skins, and gallery stats favor spenders across all modes. [38092964, 37950513]  
• Level-gated systems unlock late; slow free leveling delays access to major features. [46232807, 38033276]  
• Non-payers struggle to earn pulls; some events reward roughly one draw. [44234377, 38055071, 38088014]  
• Free progress often stalls without buying stamina or packs. [42082077, 38045963, 38034357]  
• Some say non-payers can play casually by avoiding PvP and rankings. [46232807, 38118261, 43126415]  
• Widespread sentiment: non-paying users cannot play meaningfully. [40470499, 38074518, 38034049]  
• Guild and cross-server occupation modes favor big spenders; casuals feel excluded. [44426438, 38165312]"
q29,"Rate spending pressure: -2 (heavy/annoying) to 2 (elegant/subtle), or “N/A”","{'overall_score': -1.7894736842105263, 'detailed_scoring': {None: 1449, -2.0: 307, -1.0: 69, 1.0: 3, 0.0: 1}}"
q30,Reason for previous question’s rating,"- Widely labeled pay-to-win; non-spenders struggle or quit. “不氪金玩不了” [40470499, 43046792]
- Constant monetization pop-ups; mailbox even sends recharge coupons. [44191309, 38053172]
- Many paywalls: monthly cards, funds, warpass, permanent boosts, daily packs. [38041000, 42731755]
- Battle speed/skip and QoL features gated behind purchases. [44234377, 38041073]
- Resources scarce; chapters give tiny diamonds; slow progress without paying. [46074010, 43911482]
- Daily diamond income low; events don’t compensate. [44189159, 38083738]
- Gacha harsh: 50 pity, four off-banner then 200–250 hard pity. [42631663, 40364196]
- Weapon pool “80% UP” frequently misses; no big pity. [46122541, 44342869]
- Claims of “killer of regulars”: luck worsens after spending. [39996223, 38774252]
- Frequent power creep: weekly/new URs make old units obsolete. [46466077, 45459238]
- Spending required across systems: characters, weapons, artifacts, pets, furniture. [40214691, 38170173]
- Skins and marriage ring are paid-only; skins add stats. [41784309, 38102879]
- Some skins can’t be bought with gems; prices called expensive. [39202086, 43914998]
- Heavy PVP focus drives spending; cross-server pits new vs whales. [46122541, 37212384]
- Events gate “free” rewards behind prior paid tiers. [38049727, 38058023]
- “Daily ten-pull” seen as low-value, gated behind progression. [38061013, 43712748]
- Micro-spending feels pointless; “month card equals no spend.” [38109128, 38095591]
- Advice trend: only whales enjoy; others go “佛系” or leave. [38148366, 41969878]"
q31,Rate quality/quantity of free rewards: -2 to 2 or “N/A”,"{'overall_score': -0.9977324263038548, 'detailed_scoring': {None: 1388, -2.0: 201, -1.0: 141, 1.0: 71, 2.0: 16, 0.0: 12}}"
q32,Reason for previous question’s rating,"- Many describe free rewards as stingy and scarce. [46074010, 44407894, 44338542, 44234377, 44189159]
- Newbie rewards and self-selected ten-pull are gated to chapters 7/10/25/50+. [46154162, 38239173, 38064349, 38035131, 38032299, 38032486]
- “Daily 10-pull” uses a low-value separate pool and often expires. [38293646, 38114293, 38064349, 38031936]
- Diamond income is small; events and mainline give very little later. [44114032, 43911482, 44234377, 46360306, 46075892]
- “Event rewards equal one single pull.” [44234377]
- Rewards/sign-ins reportedly nerfed; compensation minimal or inconsistent. [46122541, 46122882, 44188184, 37212384]
- Cross-server and PVP gating makes rewards hard for F2P. [46122541, 44426438, 40364196, 37212384]
- Promised event freebies (e.g., free UR) sometimes not delivered. [45884944, 45824868, 45822256]
- Discount vouchers replace real rewards, angering players. [44191309, 38049138, 38056351, 38058023, 38049727]
- A minority reports generous welfare: free UR, 50 pulls, skin vouchers, small pass suffices. [46125046, 46232807, 46042285, 38091287, 41617271]
- Welfare is front‑loaded; early generous, later becomes scarce. [45898492, 45483785, 44114032, 44070079, 38397325]
- Some confirm daily ten‑pull genuinely exists and helps. [37660823, 37657556, 38045675]"
q33,Does the game integrate IP? (True/False if says none/“N/A” if not mentioned). Briefly describe.,"{None: 1827, True: 2}"
q34,"Briefly describe the IP if answer to previous question is True, else answer “N/A”","- Collaboration with Scarlet Echoes, including a well-received Grail item. [45102654]
- Crossover with Youth of the Three Kingdoms 2 attracted players to try it. [38308443]"
q35,Rate IP integration depth: -2 to 2 or “N/A”,"{'overall_score': 0.0, 'detailed_scoring': {None: 1828, 0.0: 1}}"
q36,Reason for previous question’s rating,"- Player praises the collaboration’s Holy Grail item, indicating positive reception of collab content. [45102654]
- The review references an item-level collab; no evidence of deeper story/mechanics. [45102654]"
q37,Rate lightness of installation file: -2 to 2 or “N/A”,"{'overall_score': -1.7777777777777777, 'detailed_scoring': {None: 1820, -2.0: 7, -1.0: 2}}"
q38,Reason for previous question’s rating,"- Many say it's ""too big"" in storage footprint. [43671387, 42814141, 38079012, 38052573]
- Requires multi-gigabyte additional downloads (2–5GB+) after installation. [46006564, 42822384, 38033734]
- Large downloads often consume several GBs of mobile data; some report 6GB wasted. [43674892, 42826235]
- Big downloads sometimes occur only after forced initial gameplay. [46006564]
- Update stalls after large resource packs, causing repeated 2GB+ re-downloads. [42822384, 38033734]
- Larger than major apps like WeChat, raising storage concerns. [38052573]"
q39,Rate in-game download experience: -2 to 2 or “N/A”,"{'overall_score': -1.6666666666666667, 'detailed_scoring': {None: 1790, -2.0: 29, -1.0: 9, 2.0: 1}}"
q40,Reason for previous question’s rating,"• Forced long tutorial before triggering multi-GB resource download; players want full download upfront. [46006564, 42913686, 38034402, 38033782]
• Frequent or repeated updates shortly after initial install or early gameplay. [43002299, 41062631, 38039718]
• Resource downloads extremely slow or stalled for hours. [43626277, 40368602, 38128509, 38032833]
• ""Stuck at 100%"" during resource download, unable to enter game. [45205451]
• Updates fail to start or never progress. [42821950, 38033080, 38033734, 45871931]
• Re-downloads triggered on relogin or after reinstall, wasting time and data. [45205451, 42822384]
• Update progress resets when switching apps/screens. [42790155]
• Game cannot update over Wi‑Fi; forced to use mobile data. [44322291, 41062631]
• Heavy data usage from updates; multi-GB downloads drain users' plans. [38093982, 42826235, 46006564, 45205451, 38033734]
• No option to pause or schedule downloads; inconvenient for mobile users. [38033782]
• Version mismatch: TapTap download reports outdated version. [42856491]
• Large resource updates block entry; players can't get in. [38032833, 42823132, 42822623, 45869669]
• Multiple download attempts and line switches still fail. [44850581]
• Mid-game resource downloads interrupt gameplay flow. [38039718, 38034402]"
