q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,q41
44398186,,,Vertical screen gameplay.,-1.0,Vertical screen format not preferred by the reviewer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44396779,,,,,The game is very enjoyable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44385680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Inability to delete characters, only account deactivation is possible."
44385162,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Non-paying users can play with some limitations.,1,Game does not heavily pressure spending.,1,Free rewards are available but limited.,,,,,,,,,
44383692,,,,,,,,,-1,Game progression becomes frustrating due to resource depletion.,,,,,,,,,,,,,,,,,,,-1,Spending required for significant progress.,,,,,,,,,,,
44381154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,Game induces spending through penalties and restrictions.,,,,,,,,,,,Unjust penalties and poor customer service.
44331803,,,,,,Simple strategy with high floor and low ceiling.,-1.0,Lack of strategic depth in certain team compositions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44328228,,,,,,,,,,,1.0,Certain characters (Guling) are strong in various activities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44318949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rumors about new factions with a Buddhist theme.
44318463,,,,,,,,,,,1.0,Certain characters (Phoenix) are popular due to versatility.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44311109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High value of mythical beasts in early game stages.
44304588,,,,,,,,,,,-1.0,Character (Putuo) perceived as weak and not updated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44303639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concerns about pet qualification and skill retention.
44296890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pet skill and qualification advice.
44286494,,,,,,,,,-1,Resource mismanagement leads to frustration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Difficulty in managing resources as a new player.
44274471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,Game heavily pressures spending for PVP.,,,,,,,,,,,Poor customer service and auction system issues.
44227064,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Non-paying users can still enjoy the game with some limitations.,,,1,Free rewards are available but limited.,,,,,,,,,
44222285,,,,,,Pet training and skill strategy.,1.0,Strategic use of pets and skills for efficiency.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44200347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bug preventing new players from progressing in main quests.
44194260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Confusion about character stat allocation.
44192502,,,,,,,,,,,,,,,,,,,,,,,True,Gacha system with a guarantee of 450-550 pulls for a specific reward.,,,,,,,,,,,,,,,,,
44189868,,,,,,,,,-1,Difficulty in progressing past level 69 without spending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Challenges in team formation for players at level 69.
44176463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dislike for vertical screen format and account issues.
44175736,,,,,The game is praised as an excellent turn-based game.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44167119,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Non-paying users can still enjoy the game.,,,1,Free rewards are available but limited.,,,,,,,,,
44162914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Issues with unlocking main quests and tasks.
44132112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slow response to account issues.
44084161,,,,,,,,,-2,Progression is hindered by task dependencies and lack of team support.,,,,,,,,,,,,,,,,,-2,"New players are forced into guilds and then kicked out, hindering progression.",,,,,,,,,,,,,
44067241,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,Players cannot fully participate in events due to server timing issues.,-2,The game is perceived as a money grab due to event timing issues.,,,,,,,,,,,
44067222,,,,,,,,,,,-2.0,Balance issues with nerfing existing creatures and boosting others.,,,,,,,,,,,,,,,,,-2,Perception of changes being made solely for profit.,,,,,,,,,,,
44058420,,,,,The game is enjoyable and visually appealing.,"Rich chat system, personal space, and detailed graphics.",,The game offers a rich social experience and detailed visuals.,,,,,2,The game offers a variety of visual and interactive features.,,,,,,,,,,,,,,,,,,,,,,,,,,,
44041556,,,,,The game is enjoyable with engaging storylines.,,,,-1,Some activities lack value and progression can be slow.,-1.0,"Class balance is skewed, with some classes being overly powerful.",-1,Class diversity is limited due to balance issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,
43998113,,,,,,,,,,,,,,,,,,,,,,,True,A visible pity system was added in recent updates.,,,-1,Non-paying players have limited access to competitive content.,-1,The game pressures players to spend to remain competitive.,-1,Free rewards are limited and not sufficient for progression.,,,,,,,,,
43891581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,The game is perceived as deceptive and manipulative towards players.,,,,,,,,,,,
43888798,,,,-2.0,Combat is slow and tedious without a speed-up option.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43871899,,,,,,,,,,,,,,,,,,,,,1.0,Updates have improved the game by reducing the grind.,,,,,,,,,,,,,,,-2.0,The game consumes a large amount of data and storage.,,,
43870046,,,,,,,,,-2,Progression is hindered by server population issues and lack of support.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43852723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,"The game seems to favor less active players, frustrating dedicated players.",,,,,,,,,,,
43775421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,The game requires a large amount of storage space.,-2,Frequent bugs and server issues disrupt the gameplay experience.,
43734836,,,,,,,,,,,-1.0,The game requires spending to compete with top players.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43667289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,Frequent server crashes during events disrupt gameplay.,
43667091,,,,,"The game experiences severe lag during events, causing frustration among players.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43667090,,,,-1.0,The game has significant lag issues during events.,,,,,,,,,,,,,,,,,,,,,,,,-2,Players feel pressured to spend money due to insufficient compensation and event issues.,,,,,,,,,,,
43667069,,,,,"The game lags severely during events, and compensation is inadequate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43667067,,,,,"The game's optimization is poor, causing lag during events.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43667065,,,,,The game experiences frequent lag during events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43667061,,,,,Players experience poor game performance and insufficient rewards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43667048,,,,,"The game has severe lag and disconnection issues during events, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,-2,Players feel the game is designed to exploit their spending.,,,,,,,,,,,
43667022,,,,,"The server crashes frequently, leading to player dissatisfaction.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43666994,,,,,Players express frustration with the game's performance and server issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43666991,,,,,"The game lags severely during events, causing frustration among players.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43666979,,,,,"The game has numerous bugs and issues, leading to player dissatisfaction.",,,,,,,,,,,,,,,,,,,,,,,,-2,Players feel the game is focused on monetization rather than quality.,,,,,,,,,,,
43666975,,,,,"The game lags severely during events, and compensation is inadequate.",,,,,,,,,,,,,,,,,,,,,,,,-2,Players feel the game is designed to exploit their spending.,,,,,,,,,,,
43666963,,,,,"The game experiences severe lag during events, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43666946,,,,,Players experience lag and inadequate compensation during events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43666939,,,,,The game lacks optimization and focuses on monetization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43666929,,,,,"The game experiences frequent lag, and developers are not addressing the issues.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43666918,,,,,"The game experiences severe lag during events, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24288527,,,,,Players experience lag and feel that developers are not addressing issues adequately.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43666890,,,,,"The game experiences frequent lag, and compensation is inadequate.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43664131,,,,,The game has a high level of difficulty and significant balance issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43654954,,,,,Players feel that certain game features are not being utilized effectively.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43652555,,,,,The player enjoys the game and requests more in-game rewards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42797514,,,,,The game experiences frequent disconnections and reduced rewards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43652079,,,,,The game is challenging for non-paying players.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43646409,,,,,"The game experiences severe lag during events, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34024840,,,,,"The game crashes frequently during events, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23932408,,,,,The game has mature gameplay systems but lacks innovation and has poor character modeling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43627832,,,,,Players feel that certain character abilities are unbalanced.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43627767,,,,,Players are unsure about character builds and strategies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43636099,,,,,"The game has good graphics and music, but players suggest extending event durations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43629172,,,,,Players are unsure about character progression and suggest alternatives.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43629081,,,,,Players feel the game is inferior to older games.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43627804,,,,,Players find it difficult to form teams.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43617846,,,,,Players feel certain character abilities are underpowered.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43619202,,,,,Players feel the game has worsened with updates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609241,,,,,"The game experiences frequent lag, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609228,,,,,The game has severe lag and disconnection issues during events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609223,,,,,"The game experiences severe lag during events, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609195,,,,,Players feel the game lacks meaningful rewards and events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609170,,,,,Players experience login issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609162,,,,,Players experience login issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609136,,,,,"The game experiences severe lag during events, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43609124,,,,,The game experiences frequent crashes during events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43608348,,,,,"The game has good graphics and a variety of gameplay features, but progression is heavily monetized.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43607573,,,,,The game has poor optimization and graphical issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43607069,,,,,Players feel the game's anniversary rewards are inadequate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43604427,,,,,Players feel the game's compensation and event management are inadequate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43604153,,,,,Players are confused by the game's opening animation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43596776,,,,,Players feel the game's account management is unfair and exploitative.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43599472,,,,,Players feel the game is disappointing despite its appearance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43591222,,,,,"The game experiences frequent server issues, leading to player frustration.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43576736,,,,,The game has poor horizontal screen implementation and is not beginner-friendly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43590872,,,,,Players experience login issues during events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43586561,,,,,Players feel the game is focused on monetization rather than quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43585598,,,,,Players feel the game requires excessive spending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43584290,,,,,The game has poor performance on iOS devices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43579620,,,,,Players are frustrated by persistent notifications and limited storage access.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43577509,,,,,"The game is playable without spending, but requires patience and strategy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43577111,,,,,Players are unsure about character selection and strategy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43575013,,,,,"The game is generally good, but players wish for fewer bugs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34124641,,,,,Players feel the game unfairly changes rewards without notice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43574654,,,,,"The game is enjoyable, especially with friends.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43568598,,,,,Players feel the game is focused on monetization.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43560798,,,,,Players discuss character and strategy preferences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43556616,,,,,Players are disappointed with the game's screen orientation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43488740,,,,,The game has poor rewards and high resource consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43477836,,,,,Players experience unfair account bans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43475738,,,,,The game is heavily monetized and lacks playability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43453168,,,,,Players feel the game's promotions are misleading and inadequate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43202561,,,,,Players feel the game is a reskin of previous titles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43189934,,,,,The game is heavily monetized and has too many events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43187763,,,,,The game is initially engaging but becomes boring over time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43185628,,,,,Players feel the game's gacha system is unfair.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43108901,,,,,Players feel the game has poor rewards and treats players unfairly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43080591,,,,,Players are concerned about the game's permissions and privacy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43052466,,,,,Players are dissatisfied with customer support.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41898518,,,,,Players feel the game unfairly changes character balance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42910191,,,,,The review mentions that the game has multiple fun gameplay mechanics and a good art style.,,,,0,The game is described as having standard progression.,,,,,,,,,,,,,,,,,0,The game is described as having standard spending requirements.,,,,,,,,,,,,,
42897528,,,,,The reviewer feels the game is good but notes a significant player drop-off in each server.,,,,0,The review mentions player retention issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Significant player drop-off in each server.
42745918,,,,,The review mentions dissatisfaction with the combat mechanics related to the four spirit treasures.,,,,,,-1.0,"The review mentions imbalance in the hero system, with dissatisfaction regarding the four spirit treasures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissatisfaction with the combat mechanics related to the four spirit treasures.
36003423,,,,,The review criticizes the game's PVP focus and the expensive nature of obtaining and evolving divine beasts.,,,,-2,"The progression is heavily criticized for being pay-to-win, especially in obtaining divine beasts.",,,,,,,,,,,,,,,,,-2,The review indicates that non-paying users have a very hard time progressing due to the game's pay-to-win mechanics.,-2,"The review describes heavy spending pressure, especially for obtaining divine beasts.",-2,The review indicates that free rewards are insufficient compared to the costs of progression.,,,,,,,,,"Criticism of the game's PVP focus, expensive divine beasts, and pay-to-win mechanics."
42741781,,,The review describes a simple strategy for dungeons using two supports and three magic pets.,,"The review provides a strategy for dungeons, indicating some satisfaction with combat mechanics.",Strategy involves using two supports and three magic pets for dungeons.,1.0,"The review provides a specific strategy for dungeons, indicating some depth in tactical planning.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42738247,,,,,The review mentions that non-paying users struggle to find groups for dungeons in the late game.,,,,,,,,,,,,,,,,,,,,,,-2,Non-paying users struggle to find groups for dungeons in the late game.,,,,,,,,,,,,,Non-paying users struggle to find groups for dungeons in the late game.
42727067,,,,,The review mentions the game is fun but suggests that more benefits would improve it.,,,,,,,,,,,,,,,,,,,,,,,,,,0,The review suggests that increasing the benefits would improve the game.,,,,,,,,,
42715049,,,,,The review is positive but notes a lack of benefits.,,,,,,,,,,,,,,,,,,,,,,,,,,-1,The review notes a lack of benefits.,,,,,,,,,
42705785,,,,,The review mentions that resources are scarce and prices are high.,,,,,,,,,,,,,,,,,,,,,,,,-2,The review indicates heavy spending pressure due to high prices and scarce resources.,,,,,,,,,,,Scarce resources and high prices.
42695444,,,,-1.0,The review mentions dissatisfaction with combat due to nerfs and buffs affecting gameplay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dissatisfaction with combat due to nerfs and buffs affecting gameplay.
42699187,,,,,The review criticizes the game for being too pay-to-win.,,,,,,,,,,,,,,,,,,,,,,,,-2,The review criticizes the game for being too pay-to-win.,,,,,,,,,,,Criticism of the game for being too pay-to-win.
42677423,,,,,The review criticizes the game for not delivering promised rewards due to a bug.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism for not delivering promised rewards due to a bug.
42676812,,,,,The review criticizes the game for not delivering promised rewards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism for not delivering promised rewards.
42676668,,,,,The review criticizes the game for not delivering promised rewards and poor customer service.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism for not delivering promised rewards and poor customer service.
42676391,,,,,The review criticizes the game for not delivering promised rewards and demands a refund.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism for not delivering promised rewards and demands a refund.
42644097,,,,,The review mentions a strategy for combining items and criticizes the difficulty of obtaining good items.,Strategy involves combining items for better results.,0.0,The review mentions a strategy but also criticizes the difficulty of obtaining good items.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of the difficulty of obtaining good items.
42643620,,,,,The review criticizes the game for having a large gap between paying and non-paying users.,,,,,,,,,,,,,,,,,,,,,,-2,The review criticizes the game for having a large gap between paying and non-paying users.,,,,,,,,,,,,,Criticism of the large gap between paying and non-paying users.
42571222,,,,,"The review criticizes the game for poor balance, lack of customer service, and pay-to-win mechanics.",,,,-2,"The review criticizes the game for poor balance, lack of customer service, and pay-to-win mechanics.",-2.0,The review criticizes the game for poor balance.,,,,,,,,,,,,,,,-2,The review criticizes the game for being pay-to-win.,,,,,,,,,,,,,"Criticism of poor balance, lack of customer service, and pay-to-win mechanics."
42508447,,,,,"The review mentions that new servers quickly become inactive, making it hard to find groups.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New servers quickly become inactive, making it hard to find groups."
42501467,,,,,The review criticizes the game for poor balance and the difficulty of playing without spending money.,,,,,,-2.0,The review criticizes the game for poor balance.,,,,,,,,,,,,,,,-2,The review criticizes the game for the difficulty of playing without spending money.,,,,,,,,,,,,,Criticism of poor balance and the difficulty of playing without spending money.
42487431,,,,,The review criticizes the game for poor balance and frequent changes.,,,,,,-2.0,The review criticizes the game for poor balance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of poor balance and frequent changes.
42480611,,,,,The review criticizes the game for having too few resources and suggests adding a level cap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of having too few resources and suggests adding a level cap.
42478435,,,,,The review criticizes the game for changing skill mechanics and difficulty in finding groups.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of changing skill mechanics and difficulty in finding groups.
42402547,,,,,The review mentions that the game is enjoyable but criticizes the lack of need for divine beasts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of the lack of need for divine beasts.
42401154,,,,,The review criticizes the game for frequent changes and the burden of daily tasks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of frequent changes and the burden of daily tasks.
42394928,,,,,The review sarcastically praises the game for its randomness and gambling mechanics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarcastic praise for randomness and gambling mechanics.
42371344,,,,,The review accuses the game of internal manipulation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accusation of internal manipulation.
42338126,,,,,The review criticizes the game for having too many daily tasks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of having too many daily tasks.
42330241,,,,,The review criticizes the game for forcing guild mergers and kicking players out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of forcing guild mergers and kicking players out.
42314760,,,,,The review mentions difficulty in finding groups and slow combat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Difficulty in finding groups and slow combat.
42297222,,,,,The review criticizes the game for being time-consuming and having low rewards.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of being time-consuming and having low rewards.
42274938,,,,,The review criticizes the game for not progressing and not adding a horizontal mode.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of not progressing and not adding a horizontal mode.
42244533,,,,,The review praises the game's art style and variety of gameplay mechanics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praise for art style and variety of gameplay mechanics.
42221254,,,,,The review praises the game's features but criticizes frequent crashes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Praise for features but criticism of frequent crashes.
42218218,,,,,The review criticizes the game for being pay-to-win and having frequent events.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of being pay-to-win and having frequent events.
41998607,,,,,The review is positive about the game.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive review.
41996817,,,,,"The review mentions that many activities require grouping, which can be difficult for introverted players.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grouping required for many activities, difficult for introverted players."
41962584,,,,,The review criticizes frequent changes and nerfs in the game.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of frequent changes and nerfs.
41957976,,,,,The review mentions that the game is playable without spending but can be stressful.,,,,,,,,,,,,,,,,,,,,,,,,-1,The review mentions that the game can be stressful despite being playable without spending.,,,,,,,,,,,Playable without spending but can be stressful.
41954849,,,,,The review suggests that the game is not worth playing without spending money.,,,,,,,,,,,,,,,,,,,,,,-2,The review suggests that the game is not worth playing without spending money.,,,,,,,,,,,,,Not worth playing without spending money.
41892868,,,,,The review criticizes the game for unfair account bans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of unfair account bans.
41821713,,,,,The review criticizes the game for poor customer service and issues with recharging.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of poor customer service and issues with recharging.
41807627,,,,,The review mentions that new servers quickly become inactive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New servers quickly become inactive.
41736413,,,,,The review mentions difficulty in gameplay due to speed mechanics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Difficulty in gameplay due to speed mechanics.
41453009,,,,,The review criticizes the game for poor balance between physical and magical classes.,,,,,,-2.0,The review criticizes the game for poor balance between physical and magical classes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criticism of poor balance between physical and magical classes.
