question_code,question_content,synthesis_answer
q11,Rate hero balance: -2 to 2 or “N/A”,"{'overall_score': -1.7256410256410257, 'detailed_scoring': {None: 2135, -2.0: 295, -1.0: 87, 1.0: 4, 0.0: 4}}"
q12,Reason for previous question’s rating,"• Early meta: Fire (Wu) dominated PvE and PvP, crossing tens of thousands of power. [45240404, 45174243, 45270183, 45370857]  
• Fire core units overpowered: Zhou Yu/Lu Xun DPS plus Cao Ren/Zhou Tai mitigation. [45240404, 45037096, 45167402]  
• Players nickname it “Fire Burn Continent.” [45049747, 45174232, 45084079, 45033834]  
• PvE design often favors Fire; modes reward AoE/DOT and burn stacking. [45167402, 45240404]  
• Extreme immunities (100% physical/magic) gate non-Fire comps, causing frustration. [45255637, 45347438, 46051056]  
• Poison underpowered: lower coefficient, post-action tick, easily dispelled. [45134649, 45097958, 45339672]  
• Fire countermeasures sometimes backfired, weakening poison or other teams. [45035384, 45500254]  
• Group faction struggles; lacks healers; many feel backstabbed by balance. [45041798, 45795713, 45152345]  
• Shu frequently cited as weakest; repeated losses to Fire reported. [45141116, 44643623, 45270183, 45068999]  
• Shields seen as ineffective; protection undervalued versus burn mechanics. [45125599, 45396118, 45158875]  
• “No waste general” claim disputed; meta diversity overshadowed by Fire dominance. [45232396, 45197043, 44995396]  
• Later patches targeted Fire and broadened options (Wang Yi, Pang Tong, Hua Tuo). [46411680, 45249294, 45859822]  
• Some perceive improved balance; others still see Fire on top. [46130764, 45249294, 45035211]  
• Wang Yi viewed as current T0; concerns about numeric power creep. [45866343, 46278242, 45859822]  
• Community requests nerfs/buffs: curb Fire or strengthen other factions. [45034294, 45033920, 45042876, 45036535]"
q13,Rate hero/team build diversity: -2 to 2 or “N/A”,"{'overall_score': -1.4087591240875912, 'detailed_scoring': {None: 2388, -2.0: 89, -1.0: 31, 1.0: 16, 0.0: 1}}"
q14,Reason for previous question’s rating,"- Fire team dominates PVE and PVP; other builds feel unviable. [45403235, 45236251, 45235681, 45186207]
- Fire frequently beats much higher power teams by large margins. [45270183, 45286672, 45240404, 45031804]
- Arena/rankings show mirror matches; variety is minimal. [45370857, 45045880, 45108162, 45035211]
- “No waste heroes” disputed; many say only fire is usable. [45172880, 45193620, 45015475]
- Some report improved diversity post-patch: poison, Wei, Shu now playable. [46411680, 45036625, 45061449]
- Current meta lists five archetypes; fire reportedly less unstoppable. [46411680]
- Wei/Shu/巾帼 often considered weak, limiting viable choices. [45184286, 45269126, 45252226]
- Players feel forced to pick fire from the start. [45394043, 45006785, 44997604]
- PVE requires 2–3 teams, pressuring resources and experimentation. [45193620, 45167797, 44978681]
- Some content reportedly favors fire/DoT mechanics, reducing diversity. [45167402, 45167619, 44999053]
- High star/gear/weapon requirements gate alternative builds. [45167797, 45071439, 46278242]
- Class branches exist, but optimal roles are fixed; practical variety limited. [45071055, 44329062]
- Resonance/shared levels lower switching costs, encouraging early trials. [44745548, 44850906, 46411680]
- Roster feels small, further limiting team variation. [46395064, 44957272, 45125956]
- Some suggest buffing other factions instead of only nerfing fire. [45070122, 45252226]
- “Play fire, that’s it.” [45007468]"
q15,Describe the secondary core loop (or “N/A”),"- Daily login to collect hammers, stamina, and idle resources; then log off. [45274386, 45302016, 45103838]
- Use hammers to randomly forge gear; slow, set completion often blocked. [45267744, 45269522, 45124203]
- Fish in Three Mountains for small currency; low payouts, infrequent big rewards. [45484616, 45034414, 45107299]
- Do daily quests and guild activities for limited currency and tickets. [46278242, 45166654, 45172227]
- Complete 10 Arena matches daily; win quotas, inconsistent matchmaking, minor rewards. [45185280, 44998001, 45044690]
- Push Tower and Arsenal for one-time rewards and hammer income. [45051197, 45193620, 45069008]
- After 14 days, routine shrinks to fishing, forging, minimal fights. [45241453, 45302016, 45129766]
- Spend currency to buy stamina; clear stamina quickly on sweeps. [45051197, 45019318, 45107299]
- Publish and assist in help fights for limited daily helper coins. [44998001]
- Weekly bosses and shops reset; monthly shops offer few pulls. [45193620, 44959682]
- Maintain two teams for later tower; daily progress stalls without. [45193620, 45042340]
- Configure auto-combat scripts; adjust action bars for hands-off PvP. [45166654, 44961133]
- Collect daily sign-ins; limited events provide mostly one-time rewards. [45166654, 45044690]
- Use Three Mountains hub to fish, browse deals, drip resources. [44998001, 46278242]
- Clear daily mainline unlocks, then wait for next chapter. [45069008, 45034129]"
q16,"Does the secondary loop match tycoon/crafting (e.g. Township, Hay Day)? (True/False/“N/A”)","{None: 2479, False: 41, True: 5}"
q17,Rate simplicity of the secondary loop: -2 to 2 or “N/A”,"{'overall_score': -0.1590909090909091, 'detailed_scoring': {None: 2481, 1.0: 19, -2.0: 11, -1.0: 10, 2.0: 3, 0.0: 1}}"
q18,Reason for previous question’s rating,"- Daily loop extremely light; after two weeks, play 5–10 minutes then logout. [45302016, 46278242, 45274386]
- Many treat it as a low-commitment idle collect-and-logout experience. [45035774, 45003623, 45042340]
- Meta progression feels convoluted: random hammer-forged gear and difficult set completion. [45267744, 45051197, 45254175]
- Equipment management lacks convenience; re-equipping and UI usability frustrate players. [45124235, 44977750]
- Guidance and tasks feel confusing; too many daily/weekly/monthly chores. [44984511, 44360343, 44329062]
- Ongoing resource income is scarce; most rewards are one-time, stalling progression. [45166654, 44959682, 45172227]
- Early two-team requirement increases burden and complexity. [45042340, 45254175, 45069008]
- Some find fishing and Three Mountains systems relaxing and simple. [44998001, 44961782]
- Unlock pacing is slow; goals clear but content gating drains momentum. [44961133, 44725256]
- Later updates added content and reduced grind, improving daily loop simplicity. [46411680]
- A minority report easier lower-tier gear collection (purple sets). [45131260]
- PVP auto and assistance workflows feel cumbersome and time-consuming. [44998001, 45044690]
- High cognitive load from talents, awakenings, exclusive weapon upgrades. [45194548, 45254175, 45069008]
- Some consider resource and unlock flow acceptable or manageable. [44961018]"
q19,Rate resources earned from the secondary loop: -2 to 2 or “N/A”,"{'overall_score': -1.1764705882352942, 'detailed_scoring': {None: 2491, -2.0: 16, -1.0: 13, 1.0: 5}}"
q20,Reason for previous question’s rating,"- Resource income collapses after the 14‑day newbie period; most rewards are one‑time. [46278242, 45241453]
- Daily draw currency is scarce; players often can’t even afford a ten‑pull. [45484616, 45124203]
- No free daily pull; post‑tutorial draws rely on grinding Three‑Mountains currency. [46278242]
- After mainline ends, daily tasks give few pulls; 2–3 days per targeted gold. [45071439]
- Monthly shop refresh offers limited shards, tickets, and weapon pieces. [45193620, 44959682]
- Awakening gems and similar bottleneck items have monthly‑limited supply. [46278242, 44959682]
- Guild/PvP are key for progression currency; avoiding them slows resource gain. [45044690, 45172227]
- Weekly guild dividends and the weekly boss provide recurring rewards; world boss is one‑time. [45172227]
- Some upgrade stones require co‑op; low population makes grouping difficult. [45484616, 45123620]
- Hammers for gear crafting are the main repeatable income, roughly ~100 daily. [45193620, 45051197]
- Hammer supply feels insufficient; RNG makes completing gear sets frustratingly slow. [45267744, 45198318]
- Fishing and scroll minigames yield low‑value rewards; jackpots are extremely rare. [45484616, 44749038]
- Stamina is tight; progression slows sharply without buying extra energy. [45051197, 45152113]
- Event rewards are sparse; resource output and activity count feel low. [45274386, 45185280]
- Daily loop devolves to fishing and smashing gear; little meaningful progression. [45241453, 45103838]
- Some positive: early purple sets via hammers are easy to assemble. [45131260]
- Later update reportedly increased activities, welfare, and eased progression. [46411680]
- Marketing promises like “1000 pulls” require grinding many events; unrealistic early. [45484616, 45034129]"
q21,Rate frequency of content/meta updates: -2 to 2 or “N/A”,"{'overall_score': -1.2682926829268293, 'detailed_scoring': {None: 2361, -2.0: 84, -1.0: 60, 1.0: 16, 2.0: 2, 0.0: 2}}"
q22,Reason for previous question’s rating,"- At launch, content cadence felt stagnant; main story stopped within ~10 days. [45146215, 45154646, 45114865]
- Players report biweekly updates with long idle periods between. [45305533, 45237279]
- Events were sparse; many days offered nothing new to play. [45225398, 45035872, 45139538]
- Holiday updates were minimal; Dragon Boat Festival gave mostly sign-ins. [45117828, 45115505, 45109421, 45078487]
- Content often drip-fed; main story released over multiple days. [45248398, 45234925, 45239694]
- Many reach a long content drought within 1–2 weeks. [45280407, 45253784, 45165218]
- Early meta stagnated; fire team dominated without timely nerfs. [45051416, 45197043, 45279226]
- Later updates targeted fire dominance; broader balance improved. [46411680, 45859822, 45655517, 46130764]
- Despite improvements, production speed remains low; core modes update slowly or pause. [45866343, 45258839, 45279226]
- Communication on updates criticized; silent operators ignore feedback. [44966725, 44341105, 45172880]
- Some note steadier updates since July; more events and welfare added. [45245481, 45258839, 46411680, 45078370]
- Meta shifts often arrive via new limited units, not system changes. [45010336, 45866343]
- Players still ask when updates are coming. [46443127]"
q23,Does the game have a gacha guarantee system? (True/False/“N/A”),"{None: 2449, True: 75, False: 1}"
q24,"Briefly describe the gacha guarantee system if answer to previous question is True, else answer “N/A”","• Many report a 50-draw pity for gold units. [45293460, 45071439, 44737772, 44995390]
• Some mention different pities: 60 or 40 draws. [45102549, 45103674, 45272572]
• Wishlist pool: daily first gold is guaranteed from your two picks. [45071439, 44625268]
• Faction pool: first gold is guaranteed from the selected faction. [45071439]
• Weapon/Relic pool uses wishlist guarantee, but off-banner can occur. [45071439, 44971613]
• Limited banners use “mi-pool” 50/50 soft pity, then guaranteed. [45221792, 44998001]
• Limited pity cost cited: ~10k jade soft, ~20k jade hard. [44978681]
• Some limited banners lack cumulative (step-up) rewards, e.g., Yuan Shao. [45795713]
• “Always pity” experiences are common. [44970119, 44967437, 44965354]
• One claims 3.3% rate but feels much lower. [45510932]"
q25,Rate reasonableness of gacha pull price: -2 to 2 or “N/A”,"{'overall_score': -1.3125, 'detailed_scoring': {None: 2429, -2.0: 60, -1.0: 20, 1.0: 12, 0.0: 3, 2.0: 1}}"
q26,Reason for previous question’s rating,"• Many view “raise price then half off” pricing as deceptive. [45102182, 44960347, 45225571]  
• CNY 648 ≈ 40 pulls; pity is 50, so no guarantee. [45225571, 45293460]  
• Estimated price: about ¥10 per pull; discounted deals ¥5–6. [46278242]  
• Limited packs varied: 10-pull ¥36 early, then ¥60 later. [45236455]  
• Some report half-price 10-pull costing ¥30, still criticized. [44325848]  
• Battle pass: 60 pulls ¥49 (≈1 pity); later similar value ¥180. [45221792, 45172887]  
• Pull rate in jade: 2000 jade per 10-pull; daily ≈1000 jade (~5 pulls). [45102182, 46278242]  
• Limited “mi-pool” pity: 10k–20k jade per copy; some paid 25k. [44978681, 45225476]  
• Completing a unit may need 120k+ jade; seen as unaffordable. [45306999, 44978681]  
• Frequent pity hits make effective cost per gold feel high. [44965354, 45181896, 45010814, 44967437]  
• Some praise half-price and store cuts as cheap and fair. [45475477, 45043598, 44960633, 44969940, 44967443]  
• Others say half-price but overall pricier than competitors. [44960499]  
• After two weeks, free pull income collapses, making pulling feel pricey. [45484616, 45510932, 45155023, 45126275]"
q27,Rate major feature access for non-paying users: -2 to 2 or “N/A”,"{'overall_score': -1.3080808080808082, 'detailed_scoring': {None: 2327, -2.0: 132, -1.0: 34, 1.0: 21, 2.0: 9, 0.0: 2}}"
q28,Reason for previous question’s rating,"• Many report F2P progression halts after day 14 as resources stop. [45268943, 45144365, 45230638]
• ""Only 14 days for F2P."" [45241299, 45225488]
• Daily pulls insufficient; some can’t even form one 10-pull weekly. [45119113, 45107299, 45144365]
• No daily free single pull; wish pools become hard to use. [46278242, 44971794]
• Multi-team requirements (2–3 teams) arrive early, blocking non-spenders. [45398169, 45392163, 45295015]
• Cross-server/arena often force three teams; F2P lose consistently. [45395214, 44985187, 44984870]
• Event rewards tied to rankings; F2P largely “cannon fodder.” [44978681, 45177407, 45185280]
• Events demand specific factions/lineups; non-payers miss full rewards. [45407864, 45378505, 45403904]
• Auction‑only limited heroes introduced; effectively paywalled content. [44978681]
• Attribute skins are paid and pricey; F2P lack those stats. [44978681, 45866343]
• Some later report free skins and stronger welfare. [46411680, 45866343]
• Stamina/progression gating via paid packs limits F2P playtime. [45203404, 45006280, 45172880]
• Gear progression tied to PVE RNG; very slow without spending. [45185280, 45246354, 45103838]
• Battle pass/war orders give poor free value; extra pulls paywalled. [45221792, 45235045, 45866343]
• Early systems (resonance, no‑loss swapping) ease F2P onboarding. [44971645, 44719270, 46278242]
• A minority say F2P/low spend can play casually. [45879540, 44960705, 45035774]"
q29,"Rate spending pressure: -2 (heavy/annoying) to 2 (elegant/subtle), or “N/A”","{'overall_score': -1.6896551724137931, 'detailed_scoring': {None: 2119, -2.0: 316, -1.0: 72, 1.0: 18}}"
q30,Reason for previous question’s rating,"• After 14 days, resources dry up; progress stalls without spending. [45186800, 45144365]
• Daily income often can’t afford a single 10-pull. [45107299, 44960886]
• “不氪玩不了” widely echoed. [45645429, 45180707]
• Early two/three-team requirements force higher spending. [45646883, 45071686]
• Limited “mi-pool” needs many duplicates; extremely costly. [44978681, 45223076]
• New heroes outclass old; continuous spending to keep up. [44978681, 45225962]
• Duplicate refunds are meager; spenders feel punished. [45537158, 45119113]
• Skins add stats (e.g., +2% attack), creating pay edges. [45078370, 46150031]
• Auction-only heroes escalate monetization pressure. [44978681, 45169599]
• Battle pass segmented/low value; perceived disguised price hikes. [44994544, 46023167]
• “Permanent half-price” seen as markup-then-discount. [45600049, 45051197]
• Stamina and key resources monetized; free play hits walls. [45203404, 44971869]
• Rank-tied rewards favor spenders; low-spend feel sidelined. [45407864, 45866343]
• Channel vs official discounts create unfair spending pressure. [44956469, 44950941]
• Some say micro-spend works; monthly cards best value. [46278242, 45866343]
• Even high spenders report poor ROI and regret. [45033197, 45002102]
• Gacha feels expensive (~¥10 per pull); weak value. [46278242, 45102084]
• After “1000 pulls” promo, later draws scarce without paying. [45103247, 44971393]
• Recent updates/servers reportedly improved welfare for newcomers. [46411680, 45866343]"
q31,Rate quality/quantity of free rewards: -2 to 2 or “N/A”,"{'overall_score': -1.3842105263157896, 'detailed_scoring': {None: 1955, -2.0: 390, -1.0: 98, 1.0: 59, 2.0: 15, 0.0: 8}}"
q32,Reason for previous question’s rating,"• Free rewards are frontloaded; mostly one-time within the first 7–14 days. [45245727, 45257446]
• After two weeks, many report zero improvement and no meaningful gains. [45269128, 45248428]
• Early game grants roughly 20–30 free pulls total. [44961787, 44969601, 44346291, 44958256]
• Weekly ten-pull goal becomes unattainable for non-spenders after newbie phase. [45244761, 45172880]
• Daily income equals only 2–3 pulls, insufficient for pity. [45272572, 45272522]
• No daily free single pull; 100 jade is half a pull. [45283208, 45030484]
• Stage/clear rewards are tiny; some grant as little as 0.1 pull. [44962265, 44960499, 44325025]
• Daily special draws limited; recruit tickets handed singly, slowing F2P progress. [44967030, 44962265]
• No sustainable resource loops; progress relies on one-time clears. [45300097, 45245727]
• Event rewards feel minimal; festival freebies mocked (e.g., 20 hammers). [45401182, 44978681, 45118856, 45225962]
• Livestream/redeem rewards criticized as tiny; codes often only two pulls. [44962530, 44962852, 44962398, 44962576, 44962573, 44962508, 44962002]
• Sign-in rewards are trivial or quantity-capped. [45225289, 44995303, 44963785, 44963774, 44961344, 44958324]
• ""1000 pulls"" promise seen as misleading and long-term gated. [45154785, 45103031, 44968199, 44965046, 44963357, 44963163, 44962237, 44962015, 44959982, 44961352]
• Stamina refills are scarce; insufficient free energy pushes purchases. [44970107, 44967810, 44962265, 44328974, 44325025, 44958315]
• Welfare judged worse than the first game by many players. [45169599, 45228861, 44970107, 44965463, 44965081, 44965835, 44957893, 44964095]
• Some praise acceptable early welfare and easy orange-tier acquisition. [45105895, 45498429, 44968934, 44967443, 44965569, 44960144]
• Later updates reportedly increased welfare; near-daily ten-pulls and large jade gains. [45653611, 46084361, 45866343, 46182391]
• Tests/early builds felt more generous than launch. [44719270, 44720972, 44737772, 44685715, 44658450, 44860149, 44922048]
• Revised sign-ins and occasional free skins praised; Qianji servers grant higher welfare. [44978681, 46411680]
• Improvements viewed as arriving too late by some players. [45222398, 44959853]
• Freebies sometimes insufficient to complete multi-day tasks. [44969556]
• Claims of all characters given disputed; duplicates and missing units. [44964370, 44967635, 44963052]"
q33,Does the game integrate IP? (True/False if says none/“N/A” if not mentioned). Briefly describe.,"{None: 2436, True: 89}"
q34,"Briefly describe the IP if answer to previous question is True, else answer “N/A”","- Direct sequel leveraging the Three Kingdoms Fantasy Continent IP. [45001212, 44962988]
- Story focuses on young Cao Cao, highlighting Cao–Yuan dynamics. [45097289, 44970162]
- Built on the classic Three Kingdoms IP to attract fans. [43970227, 43814287]
- Integrates Han-dynasty motifs with modern mech/tech aesthetics. [43966303, 45001212]
- Portrayals skew otome/BL; many accuse it of “selling fu”. [44978689, 44977361]
- Feminized or childlike redesigns of male generals draw backlash. [44984819, 44201203]
- Original characters/renamings and altered romances questioned for accuracy. [44958035, 44144679]
- Some say it feels more like the company’s otome title “Daihao Yuan.” [44978681, 44965810]
- Isekai-like setup broadens the world beyond strict history. [45097289]"
q35,Rate IP integration depth: -2 to 2 or “N/A”,"{'overall_score': -0.4482758620689655, 'detailed_scoring': {None: 2467, -1.0: 26, 1.0: 20, -2.0: 11, 2.0: 1}}"
q36,Reason for previous question’s rating,"- Many feel the game disrespects the Three Kingdoms IP with BL/otome tone. [44999569, 44969230, 44984819, 44958252]
- Frequent criticism of male idol/androgynous designs undermining historical immersion. [44201203, 44957952, 44970181, 44977493]
- Some say it merely skins Three Kingdoms, prioritizing trendy romance narratives. [44978689, 43814287, 44960994, 44996508]
- Portrayals like Cao Cao–Yuan Shao read as OOC and off-canon. [44965515, 45010034, 44970107, 44970181]
- Missing or sidelined iconic figures (e.g., Xiahou brothers) frustrate lore fans. [45010034]
- Fabricated relationships and timeline errors break historical credibility. [44144679]
- Art style mixing Han elements with modern mecha/tech divides players. [45001212, 44970107, 45009030]
- Some praise richer Han-era elements and strong Three Kingdoms atmosphere. [43966303, 44970557]
- A minority commend the youthful Cao Cao perspective as fresh yet faithful. [45097289, 44968690, 45034129, 44970162]
- Others argue the stylistic shift from the first game alienates its IP audience. [44962988, 44961018, 44970107]
- New characters tied to young Cao Cao feel abrupt or out of place. [44961133, 45097289]
- Claims it’s effectively another otome title, not a true sequel. [44978681, 44970181]
- Some argue Cao–Yuan bonds align with established Three Kingdoms fiction traditions. [44962988, 44965375]
- Overall sentiment skews negative on IP fidelity; praise exists but is minority. [44999569, 44984819, 44965375, 45034129]"
q37,Rate lightness of installation file: -2 to 2 or “N/A”,"{'overall_score': -1.0, 'detailed_scoring': {None: 2524, -1.0: 1}}"
